Date,NAV
2015-11-23,6.6664
2015-11-24,6.6613
2015-11-26,6.6912
2015-11-27,6.7488
2015-11-30,6.7613
2015-12-01,6.7982
2015-12-02,6.8694
2015-12-03,6.8302
2015-12-04,6.7851
2015-12-07,6.743
2015-12-08,6.6363
2015-12-09,6.4908
2015-12-10,6.5585
2015-12-11,6.5288
2015-12-14,6.5256
2015-12-15,6.5491
2015-12-16,6.5759
2015-12-17,6.6807
2015-12-18,6.6707
2015-12-21,6.7376
2015-12-22,6.7669
2015-12-23,6.7883
2015-12-24,6.8401
2015-12-28,6.8365
2015-12-29,6.8099
2015-12-30,6.8078
2015-12-31,6.8376
2016-01-01,6.9271
2016-01-04,6.9033
2016-01-05,7.0043
2016-01-06,6.9871
2016-01-07,6.7794
2016-01-08,6.869
2016-01-11,6.8228
2016-01-12,6.7231
2016-01-13,6.6353
2016-01-14,6.4983
2016-01-15,6.28
2016-01-18,6.0794
2016-01-19,6.2092
2016-01-20,6.0765
2016-01-21,6.0905
2016-01-22,6.2553
2016-01-25,6.2892
2016-01-27,6.3316
2016-01-28,6.3319
2016-01-29,6.4788
2016-02-01,6.4885
2016-02-02,6.4027
2016-02-03,6.308
2016-02-04,6.315
2016-02-05,6.4116
2016-02-08,6.4147
2016-02-09,6.324
2016-02-10,6.2651
2016-02-11,5.9686
2016-02-12,5.9034
2016-02-15,6.1636
2016-02-16,5.995
2016-02-17,6.0786
2016-02-18,6.0749
2016-02-19,6.0726
2016-02-22,6.0572
2016-02-23,5.9739
2016-02-24,5.9216
2016-02-25,5.8751
2016-02-26,5.8656
2016-02-29,5.8675
2016-03-01,6.018
2016-03-02,6.1092
2016-03-03,6.2019
2016-03-04,6.208
2016-03-08,6.1989
2016-03-09,6.2125
2016-03-10,6.2236
2016-03-11,6.1967
2016-03-14,6.1838
2016-03-15,6.0859
2016-03-16,6.1058
2016-03-17,6.1618
2016-03-18,6.2048
2016-03-21,6.2907
2016-03-22,6.2671
2016-03-23,6.246
2016-03-28,6.1403
2016-03-29,6.1708
2016-03-30,6.2471
2016-03-31,6.2706
2016-04-01,6.3024
2016-04-04,6.3533
2016-04-05,6.2612
2016-04-06,6.3044
2016-04-07,6.2529
2016-04-08,6.3031
2016-04-11,6.315
2016-04-12,6.3739
2016-04-13,6.4416
2016-04-18,6.4973
2016-04-20,6.5236
2016-04-21,6.4913
2016-04-22,6.4762
2016-04-25,6.4297
2016-04-26,6.4848
2016-04-27,6.4454
2016-04-28,6.3221
2016-04-29,6.372
2016-05-02,6.3594
2016-05-03,6.3352
2016-05-04,6.297
2016-05-05,6.3224
2016-05-06,6.3348
2016-05-09,6.4405
2016-05-10,6.4515
2016-05-11,6.4092
2016-05-12,6.4265
2016-05-13,6.418
2016-05-16,6.43
2016-05-17,6.4393
2016-05-18,6.4631
2016-05-19,6.3681
2016-05-20,6.308
2016-05-23,6.2213
2016-05-24,6.1965
2016-05-25,6.2686
2016-05-26,6.4309
2016-05-27,6.4596
2016-05-30,6.4796
2016-05-31,6.4223
2016-06-01,6.4094
2016-06-02,6.4346
2016-06-03,6.4054
2016-06-06,6.4259
2016-06-07,6.475
2016-06-08,6.5574
2016-06-09,6.5445
2016-06-10,6.5863
2016-06-13,6.4961
2016-06-14,6.5017
2016-06-15,6.6266
2016-06-16,6.5869
2016-06-17,6.5898
2016-06-20,6.5937
2016-06-21,6.5931
2016-06-22,6.5667
2016-06-23,6.5957
2016-06-24,6.4791
2016-06-27,6.5548
2016-06-28,6.5927
2016-06-29,6.6567
2016-06-30,6.7088
2016-07-01,6.7403
2016-07-04,6.8297
2016-07-05,6.8211
2016-07-07,6.8367
2016-07-08,6.8052
2016-07-11,6.8645
2016-07-12,6.8787
2016-07-13,6.8069
2016-07-14,6.8707
2016-07-15,6.8124
2016-07-18,6.7502
2016-07-19,6.7474
2016-07-20,6.7889
2016-07-21,6.7203
2016-07-22,6.8026
2016-07-25,6.8426
2016-07-26,6.7915
2016-07-27,6.811
2016-07-28,6.814
2016-07-29,6.7646
2016-08-01,6.6885
2016-08-02,6.7195
2016-08-03,6.6342
2016-08-04,6.6398
2016-08-05,6.7323
2016-08-08,6.794
2016-08-09,6.7929
2016-08-10,6.714
2016-08-11,6.7165
2016-08-12,6.7061
2016-08-16,6.6885
2016-08-17,6.7306
2016-08-18,6.8066
2016-08-19,6.8683
2016-08-22,6.828
2016-08-23,6.8084
2016-08-24,6.8568
2016-08-25,6.8739
2016-08-26,6.8481
2016-08-29,6.8629
2016-08-30,6.9522
2016-08-31,7.0177
2016-09-01,7.0054
2016-09-02,7.0732
2016-09-06,7.1611
2016-09-07,7.1913
2016-09-08,7.2789
2016-09-09,7.2475
2016-09-12,7.0543
2016-09-14,7.1484
2016-09-15,7.1373
2016-09-16,7.1609
2016-09-19,7.1784
2016-09-20,7.1903
2016-09-21,7.2263
2016-09-22,7.3021
2016-09-23,7.3049
2016-09-26,7.2483
2016-09-27,7.2657
2016-09-28,7.367
2016-09-29,7.1069
2016-09-30,7.2203
2016-10-03,7.3444
2016-10-04,7.3459
2016-10-05,7.365
2016-10-06,7.2564
2016-10-07,7.2423
2016-10-10,7.2579
2016-10-13,7.1147
2016-10-14,7.1901
2016-10-17,7.124
2016-10-18,7.2244
2016-10-19,7.2742
2016-10-20,7.3417
2016-10-21,7.4138
2016-10-24,7.4665
2016-10-25,7.4344
2016-10-26,7.4026
2016-10-27,7.3255
2016-10-28,7.3609
2016-11-01,7.3994
2016-11-02,7.2963
2016-11-03,7.274
2016-11-04,7.1078
2016-11-07,7.1599
2016-11-08,7.1334
2016-11-09,6.9373
2016-11-10,7.0633
2016-11-11,6.8674
2016-11-15,6.5916
2016-11-16,6.6166
2016-11-17,6.5709
2016-11-18,6.6166
2016-11-21,6.451
2016-11-22,6.4747
2016-11-23,6.5652
2016-11-24,6.5758
2016-11-25,6.6695
2016-11-28,6.6918
2016-11-29,6.7279
2016-11-30,6.7724
2016-12-01,6.7334
2016-12-02,6.6635
2016-12-05,6.6599
2016-12-06,6.6946
2016-12-07,6.6628
2016-12-08,6.7627
2016-12-09,6.7787
2016-12-12,6.7528
2016-12-13,6.7354
2016-12-14,6.6688
2016-12-15,6.6506
2016-12-16,6.6331
2016-12-19,6.57
2016-12-20,6.4753
2016-12-21,6.4652
2016-12-22,6.375
2016-12-23,6.3761
2016-12-26,6.2817
2016-12-27,6.3756
2016-12-28,6.3669
2016-12-29,6.428
2016-12-30,6.4621
2017-01-02,6.4883
2017-01-03,6.5054
2017-01-04,6.5313
2017-01-05,6.6523
2017-01-06,6.6651
2017-01-09,6.6634
2017-01-10,6.6856
2017-01-11,6.7482
2017-01-12,6.8379
2017-01-13,6.8402
2017-01-16,6.838
2017-01-17,6.9047
2017-01-18,6.9526
2017-01-19,6.9908
2017-01-20,6.8667
2017-01-23,6.8908
2017-01-24,6.9509
2017-01-25,7.022
2017-01-27,7.0626
2017-01-30,7.0419
2017-01-31,6.9507
2017-02-01,7.0952
2017-02-02,7.1047
2017-02-03,7.1412
2017-02-06,7.2962
2017-02-07,7.3506
2017-02-08,7.3826
2017-02-09,7.407
2017-02-10,7.4461
2017-02-13,7.3611
2017-02-14,7.3713
2017-02-15,7.2797
2017-02-16,7.3334
2017-02-17,7.336
2017-02-20,7.3958
2017-02-21,7.386
2017-02-22,7.3139
2017-02-23,7.2772
2017-02-27,7.2422
2017-02-28,7.2509
2017-03-01,7.3376
2017-03-02,7.277
2017-03-03,7.3346
2017-03-06,7.3366
2017-03-07,7.3281
2017-03-08,7.3236
2017-03-09,7.3044
2017-03-10,7.2897
2017-03-14,7.355
2017-03-15,7.3947
2017-03-16,7.4865
2017-03-17,7.4742
2017-03-20,7.4623
2017-03-21,7.44
2017-03-22,7.3636
2017-03-23,7.4193
2017-03-24,7.4179
2017-03-27,7.4191
2017-03-28,7.4735
2017-03-29,7.5267
2017-03-30,7.555
2017-03-31,7.5706
2017-04-03,7.7117
2017-04-05,7.6994
2017-04-06,7.6712
2017-04-07,7.6539
2017-04-10,7.6796
2017-04-11,7.7401
2017-04-12,7.6861
2017-04-13,7.7043
2017-04-17,7.7812
2017-04-18,7.7542
2017-04-19,7.8554
2017-04-20,7.904
2017-04-21,7.9658
2017-04-24,8.1201
2017-04-25,8.1621
2017-04-26,8.0757
2017-04-27,8.0385
2017-04-28,8.061
2017-05-02,8.1027
2017-05-03,8.134
2017-05-04,8.1193
2017-05-05,8.0966
2017-05-08,8.0801
2017-05-09,8.0622
2017-05-10,8.1207
2017-05-11,8.1256
2017-05-12,8.0304
2017-05-15,8.1407
2017-05-16,8.1648
2017-05-17,8.1532
2017-05-18,7.9942
2017-05-19,7.984
2017-05-22,7.9088
2017-05-23,7.711
2017-05-24,7.6365
2017-05-25,7.8089
2017-05-26,7.8736
2017-05-29,7.7986
2017-05-30,7.8279
2017-05-31,7.8792
2017-06-01,7.939
2017-06-02,7.9817
2017-06-05,7.9978
2017-06-06,7.9464
2017-06-07,7.9452
2017-06-08,7.9564
2017-06-09,7.9427
2017-06-12,7.8287
2017-06-13,7.8013
2017-06-14,7.8439
2017-06-15,7.7933
2017-06-16,7.7895
2017-06-19,7.7477
2017-06-20,7.775
2017-06-21,7.7466
2017-06-22,7.6734
2017-06-23,7.5842
2017-06-27,7.4694
2017-06-28,7.5158
2017-06-29,7.5643
2017-06-30,7.6461
2017-07-03,7.6896
2017-07-04,7.707
2017-07-05,7.7581
2017-07-06,7.7585
2017-07-07,7.772
2017-07-10,7.8315
2017-07-11,7.8082
2017-07-12,7.9067
2017-07-13,7.9734
2017-07-14,7.9673
