Date,NAV
2015-11-23,6.6185
2015-11-24,6.6134
2015-11-26,6.6431
2015-11-27,6.7003
2015-11-30,6.7127
2015-12-01,6.7493
2015-12-02,6.82
2015-12-03,6.7811
2015-12-04,6.7363
2015-12-07,6.6946
2015-12-08,6.5885
2015-12-09,6.4441
2015-12-10,6.5113
2015-12-11,6.4819
2015-12-14,6.4786
2015-12-15,6.502
2015-12-16,6.5286
2015-12-17,6.6326
2015-12-18,6.6227
2015-12-21,6.6891
2015-12-22,6.7183
2015-12-23,6.7395
2015-12-24,6.7909
2015-12-28,6.7873
2015-12-29,6.7609
2015-12-30,6.7588
2015-12-31,6.7885
2016-01-01,6.8772
2016-01-04,6.8537
2016-01-05,6.954
2016-01-06,6.9369
2016-01-07,6.7306
2016-01-08,6.8196
2016-01-11,6.7737
2016-01-12,6.6747
2016-01-13,6.5876
2016-01-14,6.4516
2016-01-15,6.2348
2016-01-18,6.0357
2016-01-19,6.1648
2016-01-20,6.033
2016-01-21,6.0469
2016-01-22,6.2105
2016-01-25,6.2443
2016-01-27,6.2863
2016-01-28,6.2866
2016-01-29,6.4325
2016-02-01,6.4421
2016-02-02,6.3569
2016-02-03,6.2628
2016-02-04,6.2699
2016-02-05,6.3657
2016-02-08,6.3688
2016-02-09,6.2788
2016-02-10,6.2202
2016-02-11,5.9259
2016-02-12,5.8611
2016-02-15,6.1195
2016-02-16,5.9521
2016-02-17,6.0351
2016-02-18,6.0314
2016-02-19,6.0292
2016-02-22,6.0139
2016-02-23,5.9312
2016-02-24,5.8792
2016-02-25,5.833
2016-02-26,5.8237
2016-02-29,5.8255
2016-03-01,5.9749
2016-03-02,6.0655
2016-03-03,6.1575
2016-03-04,6.1636
2016-03-08,6.1545
2016-03-09,6.168
2016-03-10,6.1791
2016-03-11,6.1523
2016-03-14,6.1396
2016-03-15,6.0423
2016-03-16,6.0621
2016-03-17,6.1177
2016-03-18,6.1604
2016-03-21,6.2457
2016-03-22,6.2222
2016-03-23,6.2013
2016-03-28,6.0963
2016-03-29,6.1266
2016-03-30,6.2024
2016-03-31,6.2258
2016-04-01,6.2573
2016-04-04,6.3078
2016-04-05,6.2164
2016-04-06,6.2593
2016-04-07,6.2082
2016-04-08,6.258
2016-04-11,6.2698
2016-04-12,6.3283
2016-04-13,6.3955
2016-04-18,6.4508
2016-04-20,6.477
2016-04-21,6.4448
2016-04-22,6.4299
2016-04-25,6.3837
2016-04-26,6.4384
2016-04-27,6.3993
2016-04-28,6.2768
2016-04-29,6.3264
2016-05-02,6.3139
2016-05-03,6.2899
2016-05-04,6.2519
2016-05-05,6.2771
2016-05-06,6.2895
2016-05-09,6.3944
2016-05-10,6.4054
2016-05-11,6.3633
2016-05-12,6.3805
2016-05-13,6.3721
2016-05-16,6.3839
2016-05-17,6.3932
2016-05-18,6.4169
2016-05-19,6.3226
2016-05-20,6.2629
2016-05-23,6.1768
2016-05-24,6.1521
2016-05-25,6.2237
2016-05-26,6.3849
2016-05-27,6.4131
2016-05-30,6.433
2016-05-31,6.3761
2016-06-01,6.3633
2016-06-02,6.3884
2016-06-03,6.3593
2016-06-06,6.3797
2016-06-07,6.4285
2016-06-08,6.5103
2016-06-09,6.4974
2016-06-10,6.539
2016-06-13,6.4494
2016-06-14,6.4554
2016-06-15,6.5794
2016-06-16,6.54
2016-06-17,6.5428
2016-06-20,6.5467
2016-06-21,6.5462
2016-06-22,6.52
2016-06-23,6.5488
2016-06-24,6.4329
2016-06-27,6.5081
2016-06-28,6.5457
2016-06-29,6.6093
2016-06-30,6.661
2016-07-01,6.6923
2016-07-04,6.781
2016-07-05,6.7725
2016-07-07,6.788
2016-07-08,6.7567
2016-07-11,6.8156
2016-07-12,6.8297
2016-07-13,6.7584
2016-07-14,6.8218
2016-07-15,6.7638
2016-07-18,6.7021
2016-07-19,6.6993
2016-07-20,6.7405
2016-07-21,6.6723
2016-07-22,6.7541
