Date,NAV
2015-11-23,37.3306
2015-11-24,37.3516
2015-11-26,37.3528
2015-11-27,37.336
2015-11-30,37.3289
2015-12-01,37.3328
2015-12-02,37.3781
2015-12-03,37.2931
2015-12-04,37.2656
2015-12-07,37.2744
2015-12-08,37.2509
2015-12-09,37.2619
2015-12-10,37.2551
2015-12-11,37.244
2015-12-14,37.2557
2015-12-15,37.2561
2015-12-16,37.2823
2015-12-17,37.3141
2015-12-18,37.2931
2015-12-21,37.2868
2015-12-22,37.2981
2015-12-23,37.3208
2015-12-24,37.3266
2015-12-28,37.3445
2015-12-29,37.2489
2015-12-30,37.2465
2015-12-31,37.3075
2016-01-01,37.3448
2016-01-04,37.3709
2016-01-05,37.3911
2016-01-06,37.3952
2016-01-07,37.4206
2016-01-08,37.4303
2016-01-11,37.4349
2016-01-12,37.4347
2016-01-13,37.4036
2016-01-14,37.3984
2016-01-15,37.366
2016-01-18,37.3695
2016-01-19,37.4039
2016-01-20,37.4331
2016-01-21,37.4619
2016-01-22,37.4556
2016-01-25,37.4546
2016-01-27,37.4805
2016-01-28,37.4637
2016-01-29,37.4871
2016-02-01,37.5036
2016-02-02,37.4664
2016-02-03,37.36
2016-02-04,37.3298
2016-02-05,37.3621
2016-02-08,37.4099
2016-02-09,37.4141
2016-02-10,37.4163
2016-02-11,37.4237
2016-02-12,37.4048
2016-02-15,37.4121
2016-02-16,37.39
2016-02-17,37.3817
2016-02-18,37.3803
2016-02-19,37.3861
2016-02-22,37.377
2016-02-23,37.3313
2016-02-24,37.324
2016-02-25,37.2255
2016-02-26,37.2551
2016-02-29,37.4699
2016-03-01,37.3812
2016-03-02,37.3882
2016-03-03,37.3701
2016-03-04,37.3848
2016-03-08,37.4086
2016-03-09,37.4138
2016-03-10,37.4097
2016-03-11,37.4127
2016-03-14,37.5181
2016-03-15,37.548
2016-03-16,37.5703
2016-03-17,37.6352
2016-03-18,37.6634
2016-03-21,37.7208
2016-03-22,37.7491
2016-03-23,37.7437
2016-03-28,37.8254
2016-03-29,37.7211
2016-03-30,37.7429
2016-03-31,37.7966
2016-04-01,37.7999
2016-04-04,37.8524
2016-04-05,37.8758
2016-04-06,37.9056
2016-04-07,37.9355
2016-04-08,37.9403
2016-04-11,37.9946
2016-04-12,38.0062
2016-04-13,37.9826
2016-04-18,38.0165
2016-04-20,38.0244
2016-04-21,38.0193
2016-04-22,38.023
2016-04-25,38.0318
2016-04-26,38.0441
2016-04-27,38.0761
2016-04-28,38.0764
2016-04-29,38.0831
2016-05-02,38.1016
2016-05-03,38.0983
2016-05-04,38.117
2016-05-05,38.1318
2016-05-06,38.0298
2016-05-09,38.0668
2016-05-10,38.0718
2016-05-11,38.0735
2016-05-12,38.0899
2016-05-13,38.0911
2016-05-16,38.1086
2016-05-17,38.1141
2016-05-18,38.0727
2016-05-19,38.0892
2016-05-20,38.0934
2016-05-23,38.1153
2016-05-24,38.1269
2016-05-25,38.1294
2016-05-26,38.1324
2016-05-27,38.1431
2016-05-30,38.0586
2016-05-31,38.0533
2016-06-01,38.0566
2016-06-02,38.0829
2016-06-03,38.0677
2016-06-06,38.0951
2016-06-07,38.1055
2016-06-08,38.1341
2016-06-09,38.1402
2016-06-10,38.1192
2016-06-13,38.1192
2016-06-14,38.1387
2016-06-15,38.1333
2016-06-16,38.1153
2016-06-17,38.106
2016-06-20,38.1355
2016-06-21,38.1602
2016-06-22,38.081
2016-06-23,38.0833
2016-06-24,38.0884
2016-06-27,38.143
2016-06-28,38.1655
2016-06-29,38.2085
2016-06-30,38.24
2016-07-01,38.2667
2016-07-04,38.2941
2016-07-05,38.3488
2016-07-07,38.3465
2016-07-08,38.3463
2016-07-11,38.3771
2016-07-12,38.4506
2016-07-13,38.5233
2016-07-14,38.5255
2016-07-15,38.547
2016-07-18,38.5778
2016-07-19,38.612
2016-07-20,38.6379
2016-07-21,38.6406
2016-07-22,38.6965
2016-07-25,38.6335
2016-07-26,38.6354
2016-07-27,38.6683
2016-07-28,38.7824
2016-07-29,38.7883
2016-08-01,38.8836
2016-08-02,38.8927
2016-08-03,38.8607
2016-08-04,38.8724
2016-08-05,38.8967
2016-08-08,38.9224
2016-08-09,38.9867
2016-08-10,39.0222
2016-08-11,39.0866
2016-08-12,39.1144
2016-08-16,39.1221
2016-08-17,39.1273
2016-08-18,39.0959
2016-08-19,39.1141
2016-08-22,39.0805
2016-08-23,39.1083
2016-08-24,39.1335
2016-08-25,39.1505
2016-08-26,39.1646
2016-08-29,39.1616
2016-08-30,39.196
2016-08-31,39.1088
2016-09-01,39.0887
2016-09-02,39.0763
2016-09-06,39.1171
2016-09-07,39.1675
2016-09-08,39.1693
2016-09-09,39.1847
2016-09-12,39.1799
2016-09-14,39.1798
2016-09-15,39.1865
2016-09-16,39.2
2016-09-19,39.2246
2016-09-20,39.2371
2016-09-21,39.2463
2016-09-22,39.2911
2016-09-23,39.3161
2016-09-26,39.4419
2016-09-27,39.4945
2016-09-28,39.4027
2016-09-29,39.3275
2016-09-30,39.3703
2016-10-03,39.4356
2016-10-04,39.4923
2016-10-05,39.5529
2016-10-06,39.5285
2016-10-07,39.5162
2016-10-10,39.5503
2016-10-13,39.5644
2016-10-14,39.5349
2016-10-17,39.5448
2016-10-18,39.5686
2016-10-19,39.5724
2016-10-20,39.5731
2016-10-21,39.5749
2016-10-24,39.5853
2016-10-25,39.5783
2016-10-26,39.5853
2016-10-27,39.5643
2016-10-28,39.5634
2016-11-01,39.5805
2016-11-02,39.4842
2016-11-03,39.4674
2016-11-04,39.4499
2016-11-07,39.4787
2016-11-08,39.5117
2016-11-09,39.6086
2016-11-10,39.6452
2016-11-11,39.6288
2016-11-15,39.8111
2016-11-16,39.9033
2016-11-17,39.9027
2016-11-18,39.8838
2016-11-21,40.105
2016-11-22,40.1256
2016-11-23,40.2034
2016-11-24,40.2969
2016-11-25,40.3043
2016-11-28,40.2329
2016-11-29,40.25
2016-11-30,40.3033
2016-12-01,40.3374
2016-12-02,40.3258
2016-12-05,40.3842
2016-12-06,40.2445
2016-12-07,40.0481
2016-12-08,39.9858
2016-12-09,39.9838
2016-12-12,40.0033
2016-12-13,39.9821
2016-12-14,40.0277
2016-12-15,39.9218
2016-12-16,39.9149
