Date,NAV,1D_Abs,1M_Abs,3M_Abs,6M_Abs,YTD_Abs,1Y_Abs,1Y_CAGR,2Y_Abs,2Y_CAGR,3Y_Abs,3Y_CAGR,5Y_Abs,5Y_CAGR,10Y_Abs,10Y_CAGR,Inception_Abs,Inception_CAGR,ISIN,Scheme Name,Scheme Code
2025-11-19,13.4799,-0.00384277152506296,-0.01804394067426207,0.020145757811967924,0.02680530164533823,-0.03770675537724599,-0.009209713932907926,-0.009209713932907926,,,,,,,,,0.3388456839784273,0.16651584125932395,INF966L01DG1,Quant Commodities Fund,152257
2025-11-19,13.0982,-0.0038785629544002553,-0.01920672122923006,0.016506926390128518,0.01944210952336478,-0.049953216459102445,-0.023520728807115088,-0.023520728807115088,,,,,,,,,0.301050916820629,0.14901732197870854,INF966L01DD8,Quant Commodities Fund,152258
2025-11-19,13.4799,-0.00384277152506296,-0.01804394067426207,0.020145757811967924,0.02680530164533823,-0.03770675537724599,-0.009209713932907926,-0.009209713932907926,,,,,,,,,0.3388456839784273,0.16651584125932395,INF966L01DH9,Quant Commodities Fund,152257
2025-11-19,13.484,-0.0038416075650118398,-0.01803140202161435,0.020162663135993908,0.026828209599671027,-0.037668251045547274,-0.009170536711539667,-0.009170536711539667,,,,,,,,,0.3392529026747315,0.16670309942927553,INF966L01DF3,Quant Commodities Fund,152255
2025-11-19,13.1002,-0.003877973112719757,-0.019203845261179797,0.01651225227741815,0.019439083608292274,-0.04995286097614049,-0.023531779455720603,-0.023531779455720603,,,,,,,,,0.3012495778453226,0.1491099224994772,INF966L01DC0,Quant Commodities Fund,152256
2025-11-19,13.0982,-0.0038785629544002553,-0.01920672122923006,0.016506926390128518,0.01944210952336478,-0.049953216459102445,-0.023520728807115088,-0.023520728807115088,,,,,,,,,0.301050916820629,0.14901732197870854,INF966L01DE6,Quant Commodities Fund,152258
2025-11-19,221.1381,-0.0033931074266192462,-0.006495081852318063,0.020916644583703015,0.04722051346163969,0.008222137217686054,0.013006020644171778,0.013006020644171778,0.39699814018365687,0.18194675860787268,0.952795699114638,0.24992974519594013,3.3499182686728055,0.34182605140186517,,,4.871229559773474,0.19384141319667392,INF966L01671,QUANT SMALL CAP FUND,120827
2025-11-19,259.6205,-0.003415986463496279,-0.0072052242273275,0.01872564972966262,0.04264632943978253,0.00011633716668146832,0.003761100523994587,0.003761100523994587,0.37139825091859513,0.17106714193448158,0.8936841575485,0.23718842641663684,3.078870261005089,0.32467084624907905,,,4.910486870922063,0.19463803363639443,INF966L01AA0,QUANT SMALL CAP FUND,100177
2025-11-19,206.4658,-0.003416458467681127,-0.007196493212234478,0.018735000157892978,0.04265388004716719,9.929991140511518e-05,0.003742415992532777,0.003742415992532777,0.37154134968738295,0.17112823793442145,0.8940304764665572,0.23726384125267463,3.089484421732327,0.32535954953985313,,,4.530738857666365,0.18672354939122204,INF966L01044,QUANT SMALL CAP FUND,100176
2025-11-19,206.4658,-0.003416458467681127,-0.007196493212234478,0.018735000157892978,0.04265388004716719,9.929991140511518e-05,0.003742415992532777,0.003742415992532777,0.37154134968738295,0.17112823793442145,0.8940304764665572,0.23726384125267463,3.089484421732327,0.32535954953985313,,,4.530738857666365,0.18672354939122204,INF206A01022,QUANT SMALL CAP FUND,100176
2025-11-19,282.8951,-0.0033928912393582644,-0.006495643290287734,0.020917809820901523,0.04722360628744848,0.008229921745889657,0.013015450812216889,0.013015450812216889,0.3970031812125745,0.18194889111694446,0.9527177345596991,0.2499131106664041,3.353143119175704,0.3420249473589916,,,5.385605615999278,0.20391947986978431,INF966L01689,QUANT SMALL CAP FUND,120828
2025-11-19,221.1381,-0.0033931074266192462,-0.006495081852318063,0.020916644583703015,0.04722051346163969,0.008222137217686054,0.013006020644171778,0.013006020644171778,0.39699814018365687,0.18194675860787268,0.952795699114638,0.24992974519594013,3.3499182686728055,0.34182605140186517,,,4.871229559773474,0.19384141319667392,INF966L01663,QUANT SMALL CAP FUND,120827
2025-11-19,14.8302,0.0012895733605200466,0.0031182148389146125,0.03596850921741068,0.02215911832211015,-0.03790586785169814,-0.036649690796653256,-0.036649690796653256,0.322212514042189,0.14987499931174653,,,,,,,0.48097625277117584,0.18963814432985227,INF966L01CN9,Quant Manufacturing Fund,151913
2025-11-19,14.9434,0.001293210310839621,0.0031147210847821682,0.03596633528832682,0.022155340469920404,-0.03797028300672112,-0.03671138214002534,-0.03671138214002534,0.3316164676528248,0.15395687426039673,,,,,,,0.4922806526992751,0.19364498965410792,INF966L01CP4,Quant Manufacturing Fund,151915
2025-11-19,15.3646,0.0013360184044681755,0.004333814868318742,0.03967303411082468,0.029536713169568074,-0.025181613425118154,-0.022234949726358755,-0.022234949726358755,0.3632459673841677,0.16758124658807683,,,,,,,0.5341434434004653,0.20833765943228588,INF966L01CJ7,Quant Manufacturing Fund,151916
2025-11-19,14.9434,0.001293210310839621,0.0031147210847821682,0.03596633528832682,0.022155340469920404,-0.03797028300672112,-0.03671138214002534,-0.03671138214002534,0.3316164676528248,0.15395687426039673,,,,,,,0.4922806526992751,0.19364498965410792,INF966L01CO7,Quant Manufacturing Fund,151915
2025-11-19,15.3612,0.0013297872340425343,0.0042822492595957495,0.039604764482945365,0.02946064765172629,-0.025267459421043914,-0.02232066140950484,-0.02232066140950484,0.3628596523914722,0.1674158009858664,,,,,,,0.5338039560264001,0.2082194143866809,INF966L01CL3,Quant Manufacturing Fund,151914
