Date,NAV
2015-11-23,15.1462
2015-11-24,15.0597
2015-11-25,15.0631
2015-11-26,15.0664
2015-11-27,15.0698
2015-11-28,15.0732
2015-11-29,15.0766
2015-11-30,15.08
2015-12-01,15.0835
2015-12-02,15.0868
2015-12-03,15.0902
2015-12-04,15.0936
2015-12-05,15.0969
2015-12-06,15.1002
2015-12-07,15.1036
2015-12-08,15.107
2015-12-09,15.1104
2015-12-10,15.1138
2015-12-11,15.1171
2015-12-12,15.1204
2015-12-13,15.1237
2015-12-14,15.1271
2015-12-15,15.1304
2015-12-16,15.1338
2015-12-17,15.1372
2015-12-18,15.1405
2015-12-19,15.1439
2015-12-20,15.1473
2015-12-21,15.1507
2015-12-22,15.1541
2015-12-23,15.1574
2015-12-24,15.1607
2015-12-25,15.1641
2015-12-26,15.1674
2015-12-27,15.1707
2015-12-28,15.1736
2015-12-29,15.0669
2015-12-30,15.0701
2015-12-31,15.0735
2016-01-01,15.0767
2016-01-02,15.08
2016-01-03,15.0833
2016-01-04,15.0865
2016-01-05,15.0898
2016-01-06,15.0931
2016-01-07,15.0964
2016-01-08,15.0996
2016-01-09,15.1029
2016-01-10,15.1062
2016-01-11,15.1095
2016-01-12,15.1128
2016-01-13,15.1161
2016-01-14,15.1194
2016-01-15,15.1227
2016-01-16,15.126
2016-01-17,15.1293
2016-01-18,15.1328
2016-01-19,15.1361
2016-01-20,15.1395
2016-01-21,15.1428
2016-01-22,15.1461
2016-01-23,15.1494
2016-01-24,15.1527
2016-01-25,15.156
2016-01-26,15.1593
2016-01-27,15.0722
2016-01-28,15.0755
2016-01-29,15.0788
2016-02-01,15.0887
2016-02-02,15.0919
2016-02-03,15.0951
2016-02-04,15.0985
2016-02-05,15.1019
2016-02-08,15.1121
2016-02-09,15.1155
2016-02-10,15.1189
2016-02-11,15.1222
2016-02-12,15.1256
2016-02-13,15.129
2016-02-14,15.1324
2016-02-15,15.1357
2016-02-16,15.1391
2016-02-17,15.1424
2016-02-18,15.1458
2016-02-19,15.1491
2016-02-22,15.1592
2016-02-23,15.0726
2016-02-24,15.0759
2016-02-25,15.0793
2016-02-26,15.0826
2016-02-29,15.0931
2016-03-01,15.0965
