Date,NAV
2015-11-23,15.2391
2015-11-24,15.1526
2015-11-25,15.156
2015-11-26,15.1594
2015-11-27,15.1628
2015-11-28,15.1662
2015-11-29,15.1696
2015-11-30,15.1731
2015-12-01,15.1765
2015-12-02,15.1799
2015-12-03,15.1833
2015-12-04,15.1867
2015-12-05,15.1901
2015-12-06,15.1935
2015-12-07,15.1968
2015-12-08,15.2002
2015-12-09,15.2036
2015-12-10,15.207
2015-12-11,15.2104
2015-12-12,15.2137
2015-12-13,15.217
2015-12-14,15.2204
2015-12-15,15.2238
2015-12-16,15.2272
2015-12-17,15.2306
2015-12-18,15.234
2015-12-19,15.2373
2015-12-20,15.2406
2015-12-21,15.2442
2015-12-22,15.2476
2015-12-23,15.2509
2015-12-24,15.2543
2015-12-25,15.2577
2015-12-26,15.261
2015-12-27,15.2643
2015-12-28,15.2672
2015-12-29,15.1605
2015-12-30,15.1638
2015-12-31,15.1671
2016-01-01,15.1704
2016-01-02,15.1737
2016-01-03,15.177
2016-01-04,15.1803
2016-01-05,15.1836
2016-01-06,15.1869
2016-01-07,15.1902
2016-01-08,15.1935
2016-01-09,15.1968
2016-01-10,15.2001
2016-01-11,15.2034
2016-01-12,15.2067
2016-01-13,15.21
2016-01-14,15.2134
2016-01-15,15.2167
2016-01-16,15.22
2016-01-17,15.2233
2016-01-18,15.2268
2016-01-19,15.2302
2016-01-20,15.2336
2016-01-21,15.2369
2016-01-22,15.2403
2016-01-23,15.2436
2016-01-24,15.2469
2016-01-25,15.2502
2016-01-26,15.2536
2016-01-27,15.1664
2016-01-28,15.1697
2016-01-29,15.1731
2016-02-01,15.183
2016-02-02,15.1863
2016-02-03,15.1896
2016-02-04,15.193
2016-02-05,15.1964
2016-02-08,15.2065
2016-02-09,15.21
2016-02-10,15.2134
2016-02-11,15.2167
2016-02-12,15.2201
2016-02-13,15.2235
2016-02-14,15.2269
2016-02-15,15.2303
2016-02-16,15.2337
2016-02-17,15.2371
2016-02-18,15.2405
2016-02-19,15.2438
2016-02-22,15.2539
2016-02-23,15.1673
2016-02-24,15.1708
2016-02-25,15.1741
2016-02-26,15.1774
2016-02-29,15.188
2016-03-01,15.1914
2016-03-02,15.1948
2016-03-03,15.1982
2016-03-04,15.2016
2016-03-05,15.2049
2016-03-06,15.2082
2016-03-07,15.2117
2016-03-08,15.2149
2016-03-09,15.2184
2016-03-10,15.2216
2016-03-11,15.225
2016-03-14,15.2353
2016-03-15,15.2387
2016-03-16,15.2423
2016-03-17,15.2459
2016-03-18,15.2494
2016-03-19,15.2528
2016-03-20,15.2562
2016-03-21,15.2595
2016-03-22,15.2631
2016-03-23,15.2667
2016-03-24,15.2703
2016-03-25,15.2739
2016-03-26,15.2775
2016-03-27,15.2811
2016-03-28,15.2842
2016-03-29,15.1673
2016-03-30,15.1708
2016-03-31,15.1745
2016-04-01,15.1781
2016-04-02,15.1818
2016-04-03,15.1855
2016-04-04,15.1889
2016-04-05,15.1924
2016-04-06,15.1959
2016-04-07,15.1993
2016-04-08,15.2027
2016-04-09,15.206
2016-04-10,15.2093
2016-04-11,15.2129
2016-04-12,15.2163
2016-04-13,15.2198
2016-04-18,15.2375
2016-04-19,15.241
2016-04-20,15.2445
2016-04-21,15.248
2016-04-22,15.2515
2016-04-23,15.255
2016-04-24,15.2585
2016-04-25,15.262
2016-04-26,15.176
2016-04-27,15.1791
2016-04-28,15.1826
2016-04-29,15.186
2016-04-30,15.1895
2016-05-01,15.193
2016-05-02,15.1964
2016-05-03,15.1999
2016-05-04,15.2034
2016-05-05,15.2067
2016-05-06,15.2102
2016-05-07,15.2138
2016-05-09,15.2209
2016-05-10,15.2245
2016-05-11,15.228
2016-05-12,15.2316
2016-05-13,15.2351
2016-05-14,15.2386
2016-05-15,15.2421
2016-05-16,15.2457
2016-05-17,15.2491
2016-05-18,15.2526
2016-05-19,15.256
2016-05-20,15.2594
2016-05-21,15.2628
2016-05-22,15.2662
2016-05-23,15.2695
2016-05-24,15.2729
2016-05-25,15.2759
2016-05-26,15.2794
2016-05-27,15.2828
2016-05-28,15.2861
2016-05-29,15.2894
2016-05-30,15.2928
2016-05-31,15.1763
2016-06-01,15.1798
2016-06-02,15.1832
2016-06-03,15.1867
2016-06-04,15.1901
2016-06-05,15.1935
2016-06-06,15.1971
2016-06-07,15.2005
2016-06-08,15.204
2016-06-09,15.2074
2016-06-10,15.2108
2016-06-11,15.2142
2016-06-12,15.2176
2016-06-13,15.221
2016-06-14,15.2242
2016-06-15,15.2276
2016-06-16,15.2309
2016-06-17,15.2342
2016-06-18,15.2375
2016-06-19,15.2408
2016-06-20,15.2445
2016-06-21,15.2473
