Date,NAV
2021-12-01,10.0453
2021-12-02,10.1175
2021-12-03,10.0862
2021-12-06,9.957
2021-12-07,10.0832
2021-12-08,10.2419
2021-12-09,10.4112
2021-12-10,10.7984
2021-12-13,10.7213
2021-12-14,10.6944
2021-12-15,10.5824
2021-12-16,10.4121
2021-12-17,10.1537
2021-12-20,9.7867
2021-12-21,9.9165
2021-12-22,10.0597
2021-12-23,10.1134
2021-12-24,10.0402
2021-12-27,10.0236
2021-12-28,10.1458
2021-12-29,10.0921
2021-12-30,10.0334
2021-12-31,10.1685
2022-01-03,10.2948
2022-01-04,10.2981
2022-01-05,10.3722
2022-01-06,10.4182
2022-01-07,10.4833
2022-01-10,10.6048
2022-01-11,10.5581
2022-01-12,10.5809
2022-01-13,10.6546
2022-01-14,10.7428
2022-01-17,10.7995
2022-01-18,10.5512
2022-01-19,10.5664
2022-01-20,10.6357
2022-01-21,10.4807
2022-01-24,10.0264
2022-01-25,10.2615
2022-01-27,10.3013
2022-01-28,10.3375
2022-01-31,10.3922
2022-02-01,10.5312
2022-02-02,10.721
2022-02-03,10.8082
2022-02-04,10.8579
2022-02-07,10.7879
2022-02-08,10.6444
2022-02-09,10.7889
2022-02-10,10.8668
2022-02-11,10.7159
2022-02-14,10.1652
2022-02-15,10.4313
2022-02-16,10.3987
2022-02-17,10.2797
2022-02-18,10.1801
2022-02-21,9.8918
2022-02-22,9.6505
2022-02-23,9.7319
2022-02-24,8.6764
2022-02-25,9.0307
2022-02-28,9.1754
2022-03-02,9.2548
2022-03-03,9.3349
2022-03-04,9.1826
2022-03-07,9.0118
2022-03-08,9.115
2022-03-09,9.2944
2022-03-10,9.3666
2022-03-11,9.388
2022-03-14,9.375
2022-03-15,9.2499
2022-03-16,9.3798
2022-03-17,9.5094
2022-03-21,9.4961
2022-03-22,9.5595
2022-03-23,9.5507
2022-03-24,9.7588
2022-03-25,9.7338
2022-03-28,9.7158
2022-03-29,9.8318
2022-03-30,9.8933
2022-03-31,9.9394
2022-04-01,10.173
2022-04-04,10.368
2022-04-05,10.3635
2022-04-06,10.4183
2022-04-07,10.3459
2022-04-08,10.5273
2022-04-11,10.6019
2022-04-12,10.4678
2022-04-13,10.5535
2022-04-18,10.5219
2022-04-19,10.4372
2022-04-20,10.4868
2022-04-21,10.6454
2022-04-22,10.4733
2022-04-25,10.2805
2022-04-26,10.5739
2022-04-27,10.5883
2022-04-28,10.4385
2022-04-29,10.2808
2022-05-02,10.1729
2022-05-04,9.8221
2022-05-05,9.9295
2022-05-06,9.7778
2022-05-09,9.5586
2022-05-10,9.3112
2022-05-11,9.0622
2022-05-12,8.889
2022-05-13,8.8856
2022-05-16,9.0464
2022-05-17,9.3991
2022-05-18,9.4237
2022-05-19,9.2048
2022-05-20,9.5447
2022-05-23,9.4764
2022-05-24,9.3477
2022-05-25,9.1246
2022-05-26,9.2155
2022-05-27,9.3028
2022-05-30,9.4131
2022-05-31,9.4126
2022-06-01,9.4321
2022-06-02,9.5481
2022-06-03,9.4483
2022-06-06,9.3861
2022-06-07,9.3608
2022-06-08,9.3796
2022-06-09,9.3802
2022-06-10,9.3359
2022-06-13,8.9709
2022-06-14,8.987
2022-06-15,9.0098
2022-06-16,8.6446
2022-06-17,8.5705
2022-06-20,8.2847
2022-06-21,8.5884
2022-06-22,8.3905
2022-06-23,8.5052
2022-06-24,8.6545
2022-06-27,8.7819
2022-06-28,8.8634
2022-06-29,8.8434
2022-06-30,8.7724
2022-07-01,8.7148
2022-07-04,8.7104
2022-07-05,8.6995
2022-07-06,8.7247
2022-07-07,8.8874
2022-07-08,8.9453
2022-07-11,9.0414
2022-07-12,9.0355
2022-07-13,9.0143
2022-07-14,8.9645
2022-07-15,9.0069
2022-07-18,9.1535
2022-07-19,9.209
2022-07-20,9.2675
2022-07-21,9.3423
2022-07-22,9.3836
2022-07-25,9.3252
2022-07-26,9.287
2022-07-27,9.4191
2022-07-28,9.4602
2022-07-29,9.5849
2022-08-01,9.7388
2022-08-02,9.8035
2022-08-03,9.7642
2022-08-04,9.7035
2022-08-05,9.7383
2022-08-08,9.9059
2022-08-10,9.8283
2022-08-11,9.8757
2022-08-12,9.9263
2022-08-16,9.9927
2022-08-17,10.0441
2022-08-18,10.0586
2022-08-19,9.9878
2022-08-22,9.8183
2022-08-23,9.9588
2022-08-24,10.0574
2022-08-25,10.0099
2022-08-26,10.0994
2022-08-29,10.0433
2022-08-30,10.1985
2022-09-01,10.1996
2022-09-02,10.2417
2022-09-05,10.4482
2022-09-06,10.4575
2022-09-07,10.4993
2022-09-08,10.64
2022-09-09,10.6629
2022-09-12,10.6869
2022-09-13,10.7334
2022-09-14,10.792
2022-09-15,10.7982
2022-09-16,10.5227
2022-09-19,10.5119
2022-09-20,10.6654
2022-09-21,10.6327
2022-09-22,10.6731
2022-09-23,10.4557
2022-09-26,10.0429
2022-09-27,10.0537
2022-09-28,9.9197
2022-09-29,10.0281
2022-09-30,10.1697
2022-10-03,10.0279
2022-10-04,10.275
2022-10-06,10.423
2022-10-07,10.4326
2022-10-10,10.403
2022-10-11,10.245
2022-10-12,10.3113
2022-10-13,10.1989
2022-10-14,10.2427
2022-10-17,10.3878
2022-10-18,10.5355
2022-10-19,10.5075
2022-10-20,10.6008
2022-10-21,10.5074
2022-10-25,10.6857
2022-10-27,10.7331
2022-10-28,10.6849
2022-10-31,10.7616
2022-11-01,10.7765
2022-11-02,10.7717
2022-11-03,10.7747
2022-11-04,10.8449
2022-11-07,10.9441
2022-11-09,11.0061
2022-11-10,10.8485
2022-11-11,10.8899
2022-11-14,10.8558
2022-11-15,10.9388
2022-11-16,10.8663
2022-11-17,10.8176
2022-11-18,10.8114
2022-11-21,10.8059
2022-11-22,10.8417
2022-11-23,10.934
2022-11-24,11.038
2022-11-25,11.1105
2022-11-28,11.2318
2022-11-29,11.2011
2022-11-30,11.2343
2022-12-01,11.343
2022-12-02,11.3759
2022-12-05,11.5158
2022-12-06,11.5382
2022-12-07,11.5122
2022-12-08,11.5747
2022-12-09,11.4353
2022-12-12,11.5956
2022-12-13,11.7075
2022-12-14,11.7743
2022-12-15,11.6699
2022-12-16,11.4874
2022-12-19,11.551
2022-12-20,11.524
2022-12-21,11.2035
2022-12-22,11.0045
2022-12-23,10.4801
2022-12-26,10.9122
2022-12-27,11.098
2022-12-28,11.1976
2022-12-29,11.2717
2022-12-30,11.3419
2023-01-02,11.5128
2023-01-03,11.5596
2023-01-04,11.4043
2023-01-05,11.3975
2023-01-06,11.3328
2023-01-09,11.4552
2023-01-10,11.3298
2023-01-11,11.3375
2023-01-12,11.2955
2023-01-13,11.3568
2023-01-16,11.3953
2023-01-17,11.3609
2023-01-18,11.411
2023-01-19,11.3506
2023-01-20,11.3324
2023-01-23,11.3378
2023-01-24,11.211
2023-01-25,11.0561
2023-01-27,10.7151
2023-01-30,10.6693
2023-01-31,10.9372
2023-02-01,10.7054
2023-02-02,10.7301
2023-02-03,10.7277
2023-02-06,10.7339
2023-02-07,10.7054
2023-02-08,10.7775
2023-02-09,10.7789
2023-02-10,10.8044
2023-02-13,10.721
2023-02-14,10.7307
2023-02-15,10.7617
2023-02-16,10.7666
2023-02-17,10.7125
2023-02-20,10.657
2023-02-21,10.6911
2023-02-22,10.6075
2023-02-23,10.5297
2023-02-24,10.4585
2023-02-27,10.4289
2023-02-28,10.4234
2023-03-01,10.5779
2023-03-02,10.5605
2023-03-03,10.7839
2023-03-06,10.8725
